Input Data: 

faca leia 3xWbt q "8xa" 1DEw5 - oaokM imJ4c "en3" "sf9" LOGICO z1mCb RESTO C 

Lexical Analyzer

              status                 type                value              line_num                  pos 

     valid character              pr_faca                  faca                     1                    0 
     valid character              pr_leia                  leia                     1                    5 
     valid character          num_inteiro                     3                     1                   10 
     valid character        identificador                  xWbt                     1                   11 
   invalid character              No type                     q                     1                   16 
     valid character           const_list                 "8xa"                     1                   18 
     valid character          num_inteiro                     1                     1                   24 
     valid character        identificador                  DEw5                     1                   25 
     valid character           op_ari_sub                     -                     1                   30 
     valid character        identificador                 oaokM                     1                   32 
     valid character        identificador                 imJ4c                     1                   38 
     valid character           const_list                 "en3"                     1                   44 
     valid character           const_list                 "sf9"                     1                   50 
     valid character            pr_logico                LOGICO                     1                   56 
     valid character        identificador                 z1mCb                     1                   63 
     valid character             pr_resto                 RESTO                     1                   69 
   invalid character              No type                     C                     1                   75 
